Model,Call Price,Put Price,Call Difference,Put Difference
Black-Scholes,28.577053612678014,24.184974093510277,0.0,0.0
Monte Carlo,28.64665823218944,24.179053565681027,0.06960461951142705,-0.005920527829250233
